Gene,BRCA_1,BRCA_2,BRCA_3,Treated_1,Treated_2,Treated_3,Treated_4,Treated_5
Dnajc2,821,813,980,529,447,538,641,659
Dnajc28,6,5,0,5,2,2,8,4
Dnajc3,277,219,278,241,317,218,333,409
Dnajc30,11,3,6,0,4,2,1,3
Dnajc4,5,2,3,2,2,6,2,1
Dnajc8,5428,4159,4653,3563,3213,3099,4375,4316
Dnal1,16086,11339,12012,5422,4958,4799,13081,12620
Dnal4,466,470,596,243,246,232,384,337
Dnase1l1,637,522,622,458,445,392,606,682
Dnhd1,8747,9641,10545,9546,10064,10738,7787,6726
Dnlz,15,31,29,35,32,40,18,21
Dnm1l,22,23,20,49,48,38,27,26
Dnm3os,566,433,457,498,501,508,666,619
Dnmt1,1069,882,986,1266,1202,1289,1000,981
Dnmt3aos,65941,62515,68911,42433,40722,39141,67911,68088
Dnmt3b,13185,13446,14318,21644,19979,22791,15114,14456
Dnmt3l,798,743,821,668,699,603,737,819
Dnpep,1288,1314,1324,1265,1276,1283,1488,1302
Dnph1,693,627,856,554,647,583,470,493
Dnttip2,1722,910,1132,1578,1616,1453,1782,1965
Dock1,425,301,333,436,404,401,491,496
Dock10,4119,3457,3886,2251,2068,2104,3355,3367
Dock11,34,48,64,76,48,104,19,24
Dock2,0,1,0,2,0,1,6,4
Dock3,164,173,160,15,10,12,166,164
Dock4,1667,1494,1616,1270,1113,1129,1636,1650
Dohh,5,1,8,1,0,6,4,20
Dok2,555,435,553,268,245,302,698,693
Dok4,243,296,320,101,93,96,102,118
Dok7,18607,24212,24962,12219,12410,12760,16790,14269
Dolk,542,329,400,349,319,268,534,587
Dopey1,9,5,9,7,10,9,6,8
Dpagt1,940,815,945,894,935,816,906,1016
Dpep1,559,446,485,544,466,520,546,597
Dpf2,997,806,939,669,795,1094,754,1556
Dph1,4864,4666,5322,7629,8336,8221,4943,6508
Dph3,1307,1482,1599,1844,1576,1889,1616,1592
Dph6,320,308,378,682,591,637,389,419
Dph7,4244,4065,4754,4352,3928,3986,4573,4461
Dpm1,1919,1712,2056,2125,1777,1630,1924,1924
Dpm2,33,34,42,24,20,39,37,31
Dpp4,214,519,590,188,145,114,168,110
Dpp7,225,169,218,27,40,36,64,55
Dpp8,1025,947,609,1101,1001,952,605,632
Dpp9,760,598,679,257,266,325,452,474
Dpt,947,856,998,589,534,581,988,1030
Dpyd,3416,3572,4093,3170,3103,2990,3288,3463
Dpysl5,68,76,67,82,88,90,72,85
Dram1,1476,1392,1675,1648,1632,1611,1388,1456
Dram2,81,136,139,113,115,113,120,92
Drap1,111,156,180,101,119,104,97,71
Draxin,4,4,3,12,11,16,7,3
Drc1,3310,2821,3268,1519,1589,1408,2236,2441
Drd1a,115,106,144,32,25,37,35,19
Drg1,789,1041,1164,783,822,961,771,746
Drg2,8,8,10,9,0,3,3,5
Drp2,398,317,277,377,417,356,470,482
Dscc1,1063,1027,1023,720,723,653,961,901
Dscr3,810,812,911,626,540,542,833,850
Dse,1876,1730,2240,1175,1080,862,1301,1301
Dsn1,375,428,629,422,242,190,218,267
Dsp,513,416,617,55,63,101,133,76
Dst,24,15,37,17,23,29,22,17
Dstn,592,584,732,885,837,935,718,614
Dtd1,147,166,183,146,140,116,198,157
Dtd2,1619,903,1078,879,995,987,2806,3865
Dtl,4,1,4,2,1,2,1,2
Dtna,455,410,420,298,265,290,401,379
Dtnbos,2580,2157,2553,2245,2292,1766,2365,2720
Dtwd2,2434,2637,2811,1923,1859,1617,2234,2103
Dtx1,2220,2264,2459,2506,2457,2700,2348,2275
Dtx3,81,66,118,62,57,69,67,75
Dtx4,49,21,33,32,22,20,25,46
Duox1,934,972,1145,1417,1410,1410,1318,1116
Duox2,1830,1908,2151,1932,1802,1783,1708,1789
Dus1l,20,10,16,15,10,7,14,11
Dus4l,243,215,300,24,20,29,325,368
Dusp1,128,94,129,126,129,138,104,118
Dusp12,25,20,24,46,28,28,12,24
Dusp16,589,620,764,491,520,408,581,635
Dusp19,429,381,492,415,458,419,534,504
Dusp23,15,2,6,24,11,24,9,2
Dusp26,46,19,33,7,3,6,10,5
Dusp3,2456,2952,3156,3513,3048,3039,3274,2913
Dusp5,7,2,4,84,9,15,22,19
Dusp7,1375,1388,1624,1576,1519,1717,1331,1241
Dusp9,4713,7051,7043,5523,5445,5627,5367,5062
Dvl1,531,478,618,386,346,369,458,414
Dvl3,13947,13327,15755,10890,10968,9695,12206,12580
Dxo,664,532,661,555,468,400,701,729
Dym,1699,1943,3332,1885,1159,1309,869,771
Dync1li1,18,17,30,8,23,25,15,17
Dync1li2,571,261,319,303,307,294,549,565
Dync2h1,13,11,12,3,3,10,13,10
Dync2li1,14959,10701,12883,18813,19026,15502,16107,19258
Dynlrb1,1620,1455,1572,1854,2507,2315,1786,2819
Dynlt1c,949,1066,1136,731,751,708,961,932
Dyrk1a,322,149,154,303,250,373,228,173
Dyrk2,7199,6204,7155,4932,4800,4745,6810,6625
Dyrk3,13,23,16,25,3,1,37,36
Dyrk4,335,241,294,264,280,331,276,316
Dysf,2952,3009,3425,2695,2626,2659,3119,3110
Dzip1,1651,1585,1792,1590,1487,1509,1558,1408
Dzip3,24,37,52,36,26,20,21,22
E030013I19Rik,287,354,339,191,193,174,309,286
E030024N20Rik,1920,1349,1575,1469,1555,1493,1611,1604
E030042O20Rik,1635,1725,1963,2254,2222,2019,1730,1805
E130012A19Rik,2554,2534,2715,2372,2447,2295,2457,2516
E130201H02Rik,2296,1746,2086,2074,1984,1877,2250,2382
E130215H24Rik,1111,945,1027,768,733,922,1101,1156
E130307A14Rik,486,385,435,265,236,251,430,496
E130309D14Rik,45,74,71,65,73,86,39,27
E130317F20Rik,7,2,4,3,7,7,4,4
E230001N04Rik,474,319,324,419,407,411,645,619
E230016K23Rik,151,70,108,31,24,22,51,27
E230016M11Rik,1263,2064,2083,1387,1323,1352,1111,1137
E2f3,1240,1943,2275,728,677,753,2024,2166
E2f4,8704,9312,10155,8378,8549,9077,8749,8180
E2f6,256,183,180,403,443,388,165,203
E2f7,1142,753,1116,2279,3032,3598,1197,1237
E2f8,3682,3965,4412,3021,3169,3222,3473,2996
E330009J07Rik,294,224,323,49,38,58,70,44
E330013P04Rik,459,472,526,445,417,400,470,450
E330020D12Rik,3,3,2,8,7,2,3,2
E430018J23Rik,215,216,250,253,231,221,323,304
E430024P14Rik,32,30,48,12,2,3,10,0
Eaf1,363,265,383,767,882,766,454,440
Eaf2,2159,2443,2575,1756,1538,1514,1976,1920
Ebf2,96,98,118,70,51,76,104,95
Ebf3,1120,1201,1443,1151,1178,1126,1211,1083
Ebi3,437,376,434,416,422,471,523,551
Ebna1bp2,112,117,108,70,79,94,78,64
Ebpl,187,116,127,197,217,203,166,163
Ece2,741,510,691,596,551,450,720,685
Ech1,1304,1736,1982,1439,1523,1633,1207,1055
Echdc1,5235,4950,5872,3504,3180,3027,3807,3453
Echdc2,70,57,60,57,47,78,49,51
Eci1,5,63,52,0,3,0,9,2
Eci2,2117,1846,2115,1695,1807,1520,1780,1847
Eci3,3,3,9,11,8,12,5,9
Ecm1,3197,2645,2898,2540,2479,2229,3170,3334
Ecscr,4,4,1,1,3,0,1,1
Eda,7760,5850,6769,8303,8400,6146,8822,10063
Eda2r,759,939,1008,488,501,435,1087,929
Edc3,2573,3073,3409,2406,2451,3045,2474,2416
Edc4,38,32,45,51,44,37,37,52
Edem1,1077,826,867,873,914,868,1032,1222
Edil3,213,157,158,193,186,188,260,296
Ednra,756,777,919,609,685,621,770,691
Eea1,5138,4958,5537,7406,7357,8606,6726,6186
Eed,145,81,68,57,80,63,125,120
Eef1a2,1646,1405,1437,1475,1530,1305,1596,1616
Eef1b2,1292,1286,1504,1233,1142,1086,1291,1416
Eef1g,15,13,14,15,14,18,15,14
Eefsec,3294,3340,3801,3038,2933,2918,2924,2905
Eepd1,2062,1484,1741,1829,1979,1875,2087,2180
Efcab11,3648,3885,4127,3690,3245,3582,3662,3254
Efcab12,18,9,13,13,16,11,29,10
Efcab14,2127,2324,2642,2471,2505,2750,2253,2004
Efcab2,20,26,22,32,27,30,25,24
Efcab5,2315,1685,1849,2305,2428,2454,1602,1453
Efcab8,193,168,255,48,38,44,49,52
Efcc1,142,131,202,167,159,239,128,147
Efemp1,2543,2337,2884,1600,1577,1475,2126,2100
Efhb,4457,3010,3584,5556,5563,3896,5448,5919
Efhc1,2006,1294,1540,1203,1140,1129,1743,1811
Efhc2,6,1,2,2,2,2,0,5
Efhd1,116,42,60,95,76,124,73,67
Efna1,1273,1060,1233,662,602,545,1175,1182
