Symbols,Healthy_1,Healthy_2,Healthy_3,Healthy_4,Healthy_5,Tumor_1,Tumor_2,Tumor_3,Tumor_4,Tumor_5,Tumor_6,Tumor_7,Tumor_8,Tumor_9,Tumor_10,Tumor_11,Tumor_12,Tumor_13,Tumor_14,Tumor_15
OR4B1,2.852734339,2.890648247,3.089553313,3.462084847,2.607009112,2.691592481,3.372165222,2.551077246,2.71857674,3.361930916,2.431936442,3.179135525,3.004066457,2.631737151,2.490831982,2.603733466,2.91815128,2.602761301,3.417977714,2.82431096
OR4C11,2.891458275,2.755152212,2.916841834,2.916176427,3.103392534,2.886347326,3.211047636,3.002545455,2.870332924,2.535986266,2.864143112,3.171374931,3.134608215,2.602256794,2.862444294,2.880095561,3.325618249,3.382410625,2.911366386,3.137658485
OR4C12,2.840450829,2.42227842,2.205823036,2.389465707,2.731531858,2.700809333,2.134122719,2.123949563,2.023063448,2.553577689,2.094357796,2.332631354,2.158447001,1.931424156,2.172642064,2.260415579,2.250974588,2.590570546,2.716120251,2.274183852
OR4C12,2.399424246,3.624774585,2.502757984,2.618743119,2.688013097,3.184730514,2.362592576,2.433767351,2.320500712,2.633146702,2.369951041,2.789310248,3.29056377,2.208110307,2.506107093,2.311443386,2.63162641,2.549867422,2.873218412,2.767935373
OR4C13,2.370154115,2.382018191,3.016994372,3.209761444,2.937685508,3.174320535,2.429879734,2.425573443,2.996581347,3.693873374,2.679782113,2.709142313,3.518018901,2.62282817,3.093274503,3.001473333,2.693874752,2.124553286,2.73038779,2.015136248
OR4C13,2.565996056,3.993765198,2.993916679,3.26050115,3.013794484,3.161433953,2.75999693,2.695113682,2.881737645,3.104564868,2.707731702,3.169064301,3.142512212,3.008332615,3.058419211,2.823711905,3.317733297,3.38406132,3.228031398,2.772389304
OR4C15,2.670069423,2.414584513,2.45923279,2.572600673,2.77698351,2.581125009,2.362582327,2.267019408,2.401982099,2.558599646,2.206134993,2.983830323,2.761540565,2.326110564,2.396120646,2.573589413,2.704347579,2.37350565,2.646643238,2.265338723
OR4C16,2.595836465,3.493807351,2.628943834,2.861775456,3.010520074,3.187014781,2.712013416,2.566544575,2.86154666,3.004975091,2.807004523,2.378798077,2.485880953,2.976716596,3.105565682,2.503989912,2.386306404,3.749669878,2.99083685,3.073010483
OR4C3,2.572820061,2.375371154,2.432660851,2.66986495,2.764111745,2.770362599,2.266287466,2.454546015,2.477312735,2.808398844,2.849321184,2.691671329,2.679543051,2.460023179,2.525960604,2.425206461,2.77418846,2.68993829,2.910901356,2.608583817
OR4C45,2.393951635,3.622213149,2.144727921,2.726559565,1.954916437,2.76190103,2.577428074,2.225647869,2.585100989,2.522030185,2.302480619,2.207125407,2.551840921,2.32168806,2.483209802,2.266990394,2.504510598,2.792052541,2.465010798,2.134265224
